M0_Ftr0_v,M0_Ftr1_v,M0_Ftr2_v,M0_Ftr3_v,M0_Ftr4_v,M1_Ftr5_v,M1_Ftr6_v,M1_Ftr7_v,M2_Ftr8_v,Result
1.93,3728.97,470.32,173.97,407.84,42.38,186.37,389.82,208894.23,Success
1.64,3439.46,379.67,160.74,442.2,49.58,199.43,418.11,189621.28,Success
1.5,3450.45,567.58,162.84,519.23,45.19,176.25,446.14,192256.69,Fail
1.62,3085.59,469.96,209.51,561.92,47.66,186.37,491.27,216752.44,Fail
1.18,3661.15,510.33,132.62,421.54,49.77,188.36,391.23,196097.94,Fail
1.58,3696.08,401.13,192.4,441.84,47.68,176.51,346.59,215417.61,Success
1.44,3429.65,487.27,203.22,419.05,56.75,181.63,447.54,205449.07,Success
1.66,3438.42,427.05,280.04,389.38,45.52,193.2,343.44,195510.59,Fail
1.59,3422.6,417.74,267.15,450.71,57.63,187.53,408.65,213084.36,Fail
1.7,3603.09,478.36,121.6,355.53,51.52,178.78,559.52,217828.88,Fail
1.43,3552.04,427.12,244.55,416.6,50.29,193.77,402.25,235202.77,Fail
1.44,3657.68,437.57,164.55,439.29,48.19,207.23,376.04,196566.01,Success
1.36,3648.31,480.99,180.65,382.74,54.73,183.93,339.32,205579.06,Success
1.74,3362.42,541.35,142.26,377.67,51.09,194.28,329.57,199429.42,Success
1.6,3530.76,476.69,176.47,443.25,57.81,198.66,383.56,207792.34,Success
1.44,3275.72,450.04,188.42,495.09,54.36,175.02,333.16,202110.6,Success
1.59,3631.32,482.53,122.55,357.69,50.08,181.81,432.92,203611.48,Success
1.6,3367.59,504.43,199.17,415.13,51.21,188.51,343.16,185762.45,Success
1.69,3304.1,471.87,139.56,333.53,47.41,197.0,352.15,203441.58,Success
1.32,3883.79,471.88,171.55,359.38,50.28,201.3,410.1,191806.02,Success
1.86,3517.7,464.63,228.35,369.24,51.04,188.01,406.89,197404.68,Success
1.55,3807.67,480.56,150.53,273.7,49.48,167.9,394.53,189706.01,Fail
1.78,3597.22,516.25,207.03,378.07,45.52,196.05,501.69,226849.45,Fail
1.65,3387.8,381.99,212.76,360.41,49.82,182.11,463.67,195954.34,Success
1.94,3670.01,415.61,197.63,472.43,43.9,192.9,357.79,209388.17,Success
1.68,3550.74,426.74,168.76,390.3,46.79,175.69,419.63,183795.55,Success
1.49,3819.96,375.0,189.05,403.35,46.84,201.91,335.07,199216.74,Success
1.43,3791.06,479.77,188.48,393.26,46.51,188.95,348.44,194791.15,Success
1.25,3221.39,433.18,204.52,386.25,45.82,185.45,358.72,201014.87,Success
1.91,3373.52,470.4,179.63,393.36,47.94,193.29,402.55,198699.73,Success
